Handle,"Option1 Name","Option1 Value","Option2 Name","Option2 Value","Option3 Name","Option3 Value",SKU,grn_inventory
854392008591-1000-springs-mill-beans-pinto-16-oz,Title,"Default Title",,,,,KHRM00383515,246
854392008416-1000-springs-mill-beans-red-16-oz,Title,"Default Title",,,,,KHRM00383510,289
854392008423-1000-springs-mill-berry-wheat-red-spring-16-oz,Title,"Default Title",,,,,KHRM00383512,180
854392008607-1000-springs-mill-black-beans-16-oz,Title,"Default Title",,,,,KHRM00383520,266
854392008645-1000-springs-mill-great-northern-beans-16-oz,Title,"Default Title",,,,,KHRM00383516,253
854392008188-1000-springs-mill-oats-quick-organic-16-oz,Title,"Default Title",,,,,KHRM00383823,284
854392008652-1000-springs-mill-purple-barley-16-oz,Title,"Default Title",,,,,KHRM00383511,437
854392008461-1000-springs-mill-rice-brown-16-oz,Title,"Default Title",,,,,KHRM00383518,346
182566000332-123-gluten-free-gourmet-brownie-chips-caramel-4-oz,Title,"Default Title",,,,,KHLV00260303,0
182566000325-123-gluten-free-gourmet-brownie-chips-chocolate-chip-4-oz,Title,"Default Title",,,,,KHLV00260302,0
182566000349-123-gluten-free-gourmet-brownie-chips-rainbow-4-oz,Title,"Default Title",,,,,KHLV00260308,0
184500000255-18-rabbits-mango-strawberry-granola-cereal-jr-8-oz,Title,"Default Title",,,,,KHCH00288229,0
853605006065-1907-new-zealand-water-new-zealand-artesian-water-alkaline-16-9-fl-oz,Title,"Default Title",,,,,KHLV00273641,0
853605006041-1907-new-zealand-water-still-artesian-water-33-8-fo,Title,"Default Title",,,,,KHRM00273528,2634
853605006027-1907-new-zealand-water-still-artesian-water-67-6-fo,Title,"Default Title",,,,,KHRM00273526,3080
877494003950-1932-by-menu-arrabbiata-pasta-sauce-24-oz,Title,"Default Title",,,,,KHLV00318638,0
877494003943-1932-by-menu-pomodorina-pasta-sauce-24-oz,Title,"Default Title",,,,,KHLV00318639,0
877494003868-1932-by-menu-pomodorina-with-barolo-wine-pasta-sauce-24-oz,Title,"Default Title",,,,,KHLV00318640,0
877494003974-1932-by-menu-pomodorina-with-fresh-basil-pasta-sauce-24-oz,Title,"Default Title",,,,,KHLV00318641,0
094454008484-2-gringos-chupacabra-brisket-magic-seasoning-7-oz,Title,"Default Title",,,,,KHRM00382888,87
094454006107-2-gringos-chupacabra-cajun-blend-tortilla-chips-10-oz,Title,"Default Title",,,,,KHRM00392450,240
094454008392-2-gringos-chupacabra-chop-haus-blend-seasoning-7-oz,Title,"Default Title",,,,,KHRM00382880,218
094454008507-2-gringos-chupacabra-cluckalicious-seasoning-7-oz,Title,"Default Title",,,,,KHRM00382885,201
094454008453-2-gringos-chupacabra-original-blend-seasoning-7-oz,Title,"Default Title",,,,,KHRM00382877,196
094454008477-2-gringos-chupacabra-original-no-msg-seasoning-7-oz,Title,"Default Title",,,,,KHRM00382890,210
094454006022-2-gringos-chupacabra-original-tortilla-chips-10-oz,Title,"Default Title",,,,,KHRM00383630,379
094454008521-2-gringos-chupacabra-steak-seasoning-7-oz,Title,"Default Title",,,,,KHRM00382882,203
040232467189-2go-organic-dried-banana-1-76-oz,Title,"Default Title",,,,,KHCH00377305,600
040232467158-2go-organic-dried-golden-berries-1-76-oz,Title,"Default Title",,,,,KHCH00378425,384
040232467172-2go-organic-dried-mango-1-76-oz,Title,"Default Title",,,,,KHCH00378366,648
040232467165-2go-organic-dried-pineapple-1-76-oz,Title,"Default Title",,,,,KHCH00378367,648
050561846326-3-crab-fish-sauce-24-oz,Title,"Default Title",,,,,KHLV00064140,0
867395000059-3-water-water-caffeinated-electrolyte-33-8-fo,Title,"Default Title",,,,,KHFM00329972,0
859085006205-34-degrees-cinnamon-crisps-5-9-oz,Title,"Default Title",,,,,KHFM00299202,0
894771000365-34-degrees-cracked-pepper-crispbread-4-5-oz,Title,"Default Title",,,,,KHFM00168609,6
894771000426-34-degrees-crispbread-whl-grain-4-5-oz,Title,"Default Title",,,,,KHRM00236298,18
894771000082-34-degrees-crisps-bread-original-gf-4-5-oz,Title,"Default Title",,,,,KHRM00352719,0
859085006212-34-degrees-crisps-cinnamon-bag-4-oz,Title,"Default Title",,,,,KHRM00334286,0
859085006304-34-degrees-crisps-sweet-lemon-5-9-oz,Title,"Default Title",,,,,KHFM00299203,0
859085006625-34-degrees-everything-snaps-3-2-oz,Title,"Default Title",,,,,KHRM00360728,784
894771000341-34-degrees-natural-crispbread-crackers-4-5-oz,Title,"Default Title",,,,,KHFM00287100,20
894771000372-34-degrees-rosemary-crispbread-4-5-oz,Title,"Default Title",,,,,KHFM00287101,5
859085006601-34-degrees-sea-salt-snaps-3-2-oz,Title,"Default Title",,,,,KHRM00360951,748
894771000358-34-degrees-sesame-crisps-4-5-oz,Title,"Default Title",,,,,KHFM00307095,0
859085006311-34-degrees-sweet-lemon-crisps-bag-4-oz,Title,"Default Title",,,,,KHFM00334288,0
894771000884-34-degrees-toasted-onions-crisps-4-5-oz,Title,"Default Title",,,,,KHFM00145443,2
859085006618-34-degrees-umami-snaps-3-2-oz,Title,"Default Title",,,,,KHRM00360726,798
859085006113-34-degrees-vanilla-crisps-bag-4-oz,Title,"Default Title",,,,,KHFM00334283,0
863006000036-4505-chicharrones-jalapeno-cheddar-fried-pork-rinds-1-oz,Title,"Default Title",,,,,KHCH00293750,330
863006000043-4505-meats-chicharrones-bbq-1-oz,Title,"Default Title",,,,,KHRM00293747,215
863006000067-4505-meats-chicharrones-chile-salt-2-5-oz,Title,"Default Title",,,,,KHRM00307987,4268
860000252584-4505-meats-chicharrones-en-fuego-gf-2-5-oz,Title,"Default Title",,,,,KHRM00362374,0
850023861023-4505-meats-chicharrones-fried-pork-rinds-en-fuego-1-1-oz,Title,"Default Title",,,,,KHRM00377016,1428
850023861030-4505-meats-chicharrones-fried-pork-rinds-sea-salt-1-1-oz,Title,"Default Title",,,,,KHRM00377022,966
863006000074-4505-meats-chicharrones-jalapo-chedd-2-5-oz,Title,"Default Title",,,,,KHRM00307986,3416
860003310908-4505-meats-chicharrones-sea-salt-2-5-oz,Title,"Default Title",,,,,KHRM00362498,3568
863006000050-4505-meats-chicharrones-smkhse-bbq-2-5-oz,Title,"Default Title",,,,,KHRM00307988,448
863006000012-4505-meats-chili-salt-chicharrones-1-oz,Title,"Default Title",,,,,KHLV00287642,0
865791000406-4505-meats-cracklins-sea-salt-fried-pork-curly-qs-3-oz,Title,"Default Title",,,,,KHRM00328603,464
863006000081-4505-meats-spicy-green-chili-and-lime-fried-pork-curly-qs-3-oz,Title,"Default Title",,,,,KHRM00328604,250
894942002525-479-degrees-asiago-parmesan-and-cheddar-popcorn-0-5-oz,Title,"Default Title",,,,,KHLV00258612,0
894942002518-479-degrees-olive-oil-sea-salt-popcorn-0-5-oz,Title,"Default Title",,,,,KHLV00258611,0
041387530209-4c-foods-japanese-style-panko-plain-bread-crumbs-8-oz,Title,"Default Title",,,,,KHRM00356218,7969
041387530100-4c-foods-panko-seasoned-japanese-style-bread-crumbs-8-oz,Title,"Default Title",,,,,KHRM00356219,6174
041387111187-4c-foods-salt-free-seasoned-bread-crumbs-12-oz,Title,"Default Title",,,,,KHLV00163659,1849
861555000125-4th-heart-butter-himalayan-salt-ghee-9-oz,Title,"Default Title",,,,,KHFM00267040,1575
861555000101-4th-heart-ghee-butter-california-garlic-9-oz,Title,"Default Title",,,,,KHFM00279770,0
853104007228-4th-heart-ghee-original-recipe-chocti-12-oz,Title,"Default Title",,,,,KHFM00315958,405
853104007242-4th-heart-ghee-passionfruit-chocti-12-oz,Title,"Default Title",,,,,KHFM00315963,0
861555000118-4th-heart-original-ghee-9-oz,Title,"Default Title",,,,,KHFM00267046,3672
853104007174-4th-heart-pourable-ghee-oil-16-fl-oz,Title,"Default Title",,,,,KHFM00301496,0
853104007167-4th-heart-sprayable-ghee-oil-5-fl-oz,Title,"Default Title",,,,,KHFM00301501,0
861555000149-4th-heart-vanilla-bean-ghee-9-oz,Title,"Default Title",,,,,KHFM00267045,348
853104007754-4th-heart-ghee-oil-original-16-fo,Title,"Default Title",,,,,KHRM00339182,0
853104007747-4th-heart-ghee-oil-original-5-fo,Title,"Default Title",,,,,KHRM00338759,156
853104007372-4th-heart-ghee-turmreic-grass-fed-9-oz,Title,"Default Title",,,,,KHRM00333558,0
602050110458-505-southwestern-hatch-valley-tomatillo-garlic-and-lime-salsa-medium-16-oz,Title,"Default Title",,,,,KHRM00287781,0
602050103689-505-southwestern-salsa-mild-16-oz,Title,"Default Title",,,,,KHRM00053926,0
084685900336-778-preserves-apricot-preserves-12-oz,Title,"Default Title",,,,,KHFM00032381,0
084685900336-778-preserves-apricot-preserves-12-oz,Title,"Default Title",,,,,KHLV00339573,0
084685900305-778-preserves-cherry-preserves-12-oz,Title,"Default Title",,,,,KHLV00339565,0
857851005544-88-acres-dark-chocolate-sea-salt-seed-nola-10-oz,Title,"Default Title",,,,,KHCH00350911,0
857851005209-88-acres-dark-chocolate-sunflower-seed-butter-1-16-oz,Title,"Default Title",,,,,KHCH00348162,373
857851005070-88-acres-dark-chocolate-sunflower-seed-butter-14-oz,Title,"Default Title",,,,,KHRM00334807,0
857851005537-88-acres-ginger-apple-seed-nola-10-oz,Title,"Default Title",,,,,KHCH00350912,0
857851005131-88-acres-maple-sunflower-seed-butter-14-oz,Title,"Default Title",,,,,KHRM00334804,0
857851005063-88-acres-organic-roasted-pumpkin-seed-butter-14-oz,Title,"Default Title",,,,,KHRM00335131,282
857851005216-88-acres-roasted-pumpkin-seed-butter-1-16-oz,Title,"Default Title",,,,,KHCH00348249,903
857851005445-88-acres-roasted-watermelon-seed-butter-jar-14-oz,Title,"Default Title",,,,,KHCH00348164,101
857851005384-88-acres-roasted-watermelon-seed-butter-1-16-oz,Title,"Default Title",,,,,KHCH00348161,399
857851005575-88-acres-triple-berry-blend-seed-nola-10-oz,Title,"Default Title",,,,,KHCH00350913,6
857851005087-88-acres-vanilla-spice-sunflower-seed-butter-14-oz,Title,"Default Title",,,,,KHRM00334806,0
857851005193-88-acres-vanilla-spiced-sunflower-seed-butter-1-16-oz,Title,"Default Title",,,,,KHCH00348160,430
